nome;preco;categoria;sku;estoque;imagem;descricao
Lanterna EDC Fenix E50 - 780 Lúmens;530.00;Acessório;PH-1768;6;https://images.tcdn.com.br/img/img_prod/620600/lanterna_fenix_e50_780_lumens_1768_1_20260526150926.jpg;Lanterna EDC Fenix E50 - 780 Lúmens A Lanterna Fenix E50 é uma lanterna tática de alta qualidade, leve e potente. Com seus 780 lumens sendo 
Lanterna para Cabeça Fenix HL30 Verde - 230 Lúmens;552.30;Acessório;PH-1780;1;https://images.tcdn.com.br/img/img_prod/620600/lanterna_fenix_hl30_verde_230_lumens_1780_1_20260526150935.jpg;Lanterna para Cabeça Fenix HL30 Verde - 230 Lúmens A HL30 2018 é uma lanterna de caminhada de alto desempenho para ambientes externos. Possu
Lanterna para Cabeça Fenix HM50R 500 Lúmens;710.00;Acessório;PH-1786;1;https://images.tcdn.com.br/img/img_prod/620600/lanterna_de_cabeca_fenix_hm50r_500_lumens_black_1786_1_0bbfc248be3c8f0509cd041d83d909e2_20260526150935.jpg;Lanterna para Cabeça Fenix HM50R - 500 Lúmens A lanterna recarregável HM50R foi projetado para resistir a temperaturas frias, oferecendo des
Lanterna para Pesca Fenix HP40F - 450 Lúmens;1249.00;Acessório;PH-1792;12;https://images.tcdn.com.br/img/img_prod/620600/lanterna_para_pesca_fenix_hp40f_450_lmens_1_20260526150935_0d7295e04b45.jpg;Lanterna para Pesca Fenix HP40F - 450 Lúmens A lanterna HP40F é uma lanterna de alto desempenho da série HP da Fenix. Com quatro níveis de i
Lanterna Fenix LD12 - 125 Lúmens;570.00;Acessório;PH-1794;9;https://images.tcdn.com.br/img/img_prod/620600/lanterna_fenix_ld12_autonomia_de_ate_100h_125_lumens_1794_1_20260526150953.jpg;Lanterna para Atividades Profissionais Fenix LD12 - 125 Lúmens A Fenix LD12 torna suas tarefas ao ar livre mais simples e eficientes. Com pe
Lanterna Fenix LD41 - 520 Lúmens;702.90;Acessório;PH-1796;1;https://images.tcdn.com.br/img/img_prod/620600/lanterna_fenix_ld41_520_lmens_1_20260526150953_f289ab181ac4.jpg;Lanterna para Atividade Profissional Fenix LD41- 520 Lúmens A Fenix LD41 é a escolha ideal para quem busca qualidade e economia . Com uma po
Lanterna Camping Fenix CL09 Cinza - 200 Lúmens;413.00;Acessório;PH-1808;3;https://images.tcdn.com.br/img/img_prod/620600/lanterna_para_camping_fenix_cl09_cinza_200_lumens_1808_1_a1c7f1a9efa9f23a9bf1af1534551709_20260526150945.jpg;Lanterna Camping Fenix CL09 Cinza - 200 Lúmens A Lanterna Fenix CL09 oferece uma solução moderna, compacta, leve e prática. Com uma luminosi
Lanterna para Camping Fenix CL09 Preto - 200 Lúmens;413.00;Acessório;PH-1810;8;https://images.tcdn.com.br/img/img_prod/620600/lanterna_fenix_cl09_200_lumens_preto_1810_1_d033392e05127264cfd61f4e2ade8e50_20260526150945.jpg;Lanterna para Camping Fenix CL09 Preto - 200 Lúmens A Lanterna Fenix CL09 oferece uma solução moderna, compacta, leve e prática. Com uma lum
Lanterna Fenix LD41 - 680 Lúmens;916.80;Acessório;PH-1812;5;https://images.tcdn.com.br/img/img_prod/620600/lanterna_fenix_ld41_autonomia_de_160h_680_lumens_1812_1_20260526150954.jpg;Lanterna para Atividade Profissional Fenix LD41 - 680 Lúmens A Lanterna Fenix LD41 é uma excelente opção para quem busca uma lanterna de alt
Lanterna Tática Fenix PD32 - 900 Lúmens;675.00;Acessório;PH-1820;7;https://images.tcdn.com.br/img/img_prod/620600/lanterna_fenix_pd32_alcance_de_ate_240m_900_lumens_1820_1_75e718b9ed0289d68bcdf8891e03a525_20260526150911.jpg;Lanterna Tática Fenix PD32 - 900 Lúmens À procura de uma lanterna confiável e prática para iluminar seu caminho. A Fenix PD32 é a escolha pe
Lanterna Recarregável Fenix RC20 - 1000 Lúmens;1407.00;Acessório;PH-1830;17;https://images.tcdn.com.br/img/img_prod/620600/lanterna_fenix_rc20_1000_lumens_1830_1_e56a027beea222d365ad97b8b84a7fd7_20260526150954.jpg;Lanterna Recarregável Fenix RC20 - 1000 Lúmens A lanterna Fenix RC20 é uma excelente opção para quem busca uma fonte de luz portátil e confi
Lanterna Subaquática Fenix SD11 - 1000 Lúmens;1123.00;Acessório;PH-1836;10;https://images.tcdn.com.br/img/img_prod/620600/lanterna_fenix_sd11_1000_lumens_1836_1_210e6f8dd376ae9026f9839a9ce5affb_20260526150954.jpg;Lanterna Subaquática Fenix SD11 - 1000 Lú mens A Lanterna Fenix SD11 é uma lanterna de alta qualidade projetada para fotografia subaquática 
Lanterna Tática Fenix TK16 - 1000 Lúmens;850.00;Acessório;PH-1846;11;https://images.tcdn.com.br/img/img_prod/620600/lanterna_fenix_tk16_1000_lumens_1846_1_d8112bb7bd95fc27126f9fe21be11c0b_20260526150911.jpg;Lanterna Tática Fenix TK16 - 1000 Lúmens A lanterna Fenix TK16 é uma ferramenta tática de alta performance , ideal para situações de emergên
Lanterna Tática Fenix TK20R - 1000 Lúmens;1184.00;Acessório;PH-1848;1;https://images.tcdn.com.br/img/img_prod/620600/lanterna_fenix_tk20r_alcance_de_275m_1000_lumens_1848_1_7b40bede60a4f3230f93d86062ffa3ce_20260526150911.jpg;Lanterna Tática Fenix TK20R - 1000 Lúmens A Fenix TK20R é a lanterna ideal para quem busca potência, resistência e praticidade em qualquer s
Lanterna Tática com Infravermelho Fenix TK25 IR - 1000 Lúmens;1101.00;Acessório;PH-1850;10;https://images.tcdn.com.br/img/img_prod/620600/lanterna_fenix_tk25_ir_com_infravermelho_1850_1_667ee4a9993f6c59e75b2e281e87e0cf_20260526150911.jpg;Lanterna Tática com infravermelho Fenix TK25 IR - 1000 Lúmens Descubra um novo nível de aventura com a Fenix TK25 IR . Esta lanterna oferece
Lanterna Tática e Multicolor Fenix TK25 R&B - 1000 Lúmens;1101.00;Acessório;PH-1852;15;https://images.tcdn.com.br/img/img_prod/620600/lanterna_fenix_tk25_reamp_b_multicolor_e_tatica_1852_1_5026582284e974c20611c7a61c731826_20260526150911.jpg;Lanterna Tática e Multicolor Fenix TK25 R&B - 1000 Lúmens A TK25 R&B é uma lanterna tática e multicolorida da Fenix, que pode ajudar em vári
Lanterna Tática Fenix TK65R - 3200 Lúmens;2656.40;Acessório;PH-1858;4;https://images.tcdn.com.br/img/img_prod/620600/lanterna_fenix_tk65r_3200_lumens_1858_5_9592e1b71b36c46e0dd48dd3323452b9_20260526150911.jpg;Lanterna Tática Fenix TK65R - 3200 Lúmens A Fenix TK65R é uma lanterna de alta performance , ideal para uso em operações de segurança, polic
Lanterna para Camping Fenix CL30R Preto - 650 Lúmens;1291.00;Acessório;PH-1872;7;https://images.tcdn.com.br/img/img_prod/620600/lanterna_fenixcl30r_para_camping_650_lumens_1872_1_96f7c7c701dcda3ec1e2517cc2ccbfd2_20260526150945.jpg;Lanterna para Camping Fenix CL30R Preto - 650 Lúmens Com uma potência incrível, a CL30R é capaz de iluminar uma distância de 35 metros de di
Lanterna Para Pistola Trustfire Com Bateria - Trilho Picatinny TFP10 - 320 Lumens;279.90;Acessório;PH-1884;52;https://images.tcdn.com.br/img/img_prod/620600/lanterna_para_pistola_trustfire_com_bateria_trilho_picatinny_tfp10_320_lumens_1884_1_28fe22aa173c9f03c1183e1d856dabff_20260526151322.jpg;Lanterna Para Pistola Trustfire Com Bateria - Trilho Picatinny TFP10 - 320 Lumens Lanterna Para Pistola TrustFire TFP10 – 320 Lumens ! Desen
Lanterna Tática Fenix PD35 Tactical Edition - 1000 Lúmens;848.00;Acessório;PH-1930;25;https://images.tcdn.com.br/img/img_prod/620600/lanterna_fenix_pd35_tactical_edition_1000_lumens_1930_1_c0c5366b651eea3c9039995913128894_20260526150912.jpg;Lanterna Tática Fenix PD35 Tactical Edition - 1000 Lúmens Se você procura uma lanterna de alta performance , durabilidade e versatilidade , 
Mosquetão Militar Warfare - Tan;17.00;Acessório;PH-1966;1;https://images.tcdn.com.br/img/img_prod/620600/mosqueto_militar_warfare_tan_1_20260526151128_1d4e057755b9.jpg;MOSQUETÃO MILITAR WARFARE - TAN Use em seu colete ou plataforma modular para carregar objetos como luvas e demais acessórios que necessitam 
Mosquetão Militar Warfare - Verde;17.00;Acessório;PH-1968;8;https://images.tcdn.com.br/img/img_prod/620600/mosqueto_militar_warfare_verde_1_20260526151128_426918af724a.jpg;MOSQUETÃO MILITAR WARFARE - VERDE Use em seu colete ou plataforma modular para carregar objetos como luvas e demais acessórios que necessita
Mosquetão Militar Warfare - Preto;17.00;Acessório;PH-1970;6;https://images.tcdn.com.br/img/img_prod/620600/mosqueto_militar_warfare_preto_1_20260526151128_fa5cf6f593c1.jpg;Mosquetão Militar Warfare - Preto Use em seu colete ou plataforma modular para carregar objetos como luvas e demais acessórios que necessita
"Pistola Tanfoglio Force 22L - Cal .22 LR 5,2""";9900.00;Arma;PH-2124;33;https://images.tcdn.com.br/img/img_prod/620600/pistola_tanfoglio_force_22l_calibre_22lr_2124_1_ac2096ff121a8bc3505475eb4391f499_20260526150745.jpg;"Pistola Tanfoglio Force 22L - Calibre .22 RL 5,2"" Pistola Tanfoglio Force 22L Calibre .22 LR – perfeita para treinamento e tiro esportivo co"
"Pistola Tanfoglio FT9 Carry - Cal .380 ACP 3,8""";10500.00;Arma;PH-2126;3;https://images.tcdn.com.br/img/img_prod/620600/pistola_tanfoglio_ft9_carry_calibre_380_acp_2126_1_a2ea5028cb2c855a271e090a58730d06_20260526150745.jpg;"Pistola Tanfoglio FT9 Carry - Calibre .380 ACP 3,8"" Pistola Tanfoglio FT9 Carry - Modelo semiautomático de ação dupla projetado para defesa "
"Pistola Tanfoglio FT9 Full Size - Cal .380ACP 4,6""";10700.00;Arma;PH-2128;0;https://images.tcdn.com.br/img/img_prod/620600/pistola_tanfoglio_ft9_fs_full_size_calibre_380_acp_2128_1_61eaaa11d3455bdc0cd766953a0ebfed_20260526150746.jpg;"Pistola Tanfoglio FT9 Full Size - Calibre 380ACP 4,6"" Pistola Tanfoglio FT9 Full Size Calibre .380 ACP, modelo semiautomático de ação dupla "
Pistola Taurus PT 58 HC Plus Calibre .380 - Oxidada;10834.39;Arma;PH-2130;1;https://images.tcdn.com.br/img/img_prod/620600/pistola_taurus_pt_58_hc_plus_calibre_380_oxidada_1_20260526150746_74a41b5ae0a9.png;Pistola Taurus PT 58 HC Plus Calibre .380 - Oxidada A Taurus PT 58HC Plus é uma pistola de ação simples e dupla com funcionamento semi autom
Pistola Taurus PT59S Calibre .380 ACP - Inox;12583.13;Arma;PH-2134;1;https://images.tcdn.com.br/img/img_prod/620600/pistola_taurus_pt59s_calibre_380_acp_inox_1_20260526150746_8c9f449d9de0.jpg;Pistola Taurus PT 59S Inox Calibre .380 ACP 19+1 A Pistola Taurus PT 59S Inox no calibre .380 ACP é um modelo tradicional da Taurus, reconhe
Pistola Taurus PT 59 S Calibre .380 ACP - Oxidada;10749.45;Arma;PH-2136;1;https://images.tcdn.com.br/img/img_prod/620600/pistola_taurus_pt_59_s_calibre_380_acp_oxidada_2136_1_20260526150746.png;Pistola Taurus PT 59 S Calibre .380 ACP - Oxidada Versão oxidada da pistola semi automática Taurus 59S, que é uma pistola de ação simples ou
Placa De Perna Warfare - Ambidestra - Coyote;133.30;Acessório;PH-2150;3;https://images.tcdn.com.br/img/img_prod/620600/placa_de_perna_warfare_ambidestra_coyote_2150_1_8300177c5ac1b4c1d0f7c88c84e9cedd_20260526150847.jpg;Placa de Perna Warfare - Ambidestra - Coyote A Plataforma de perna ganhou sua versão 2 com laser cut. Mais limpa em seu design porém com a m
Placa De Perna Warfare - Ambidestra - Verde;133.30;Acessório;PH-2152;1;https://images.tcdn.com.br/img/img_prod/620600/placa_de_perna_warfare_ambidestra_verde_2152_1_dc4b01a1e7ea3760fe5886e49c11f24d_20260526150847.jpg;Placa De Perna Warfare - Ambidestra - Verde A Plataforma de perna ganhou sua versão 2 com laser cut. Mais limpa em seu design porém com a me
Porta Carregador Fenrir 1x556 Warfare - Coyote;48.00;Acessório;PH-2156;2;https://images.tcdn.com.br/img/img_prod/620600/porta_carregador_fenrir_1x556_warfare_coyote_2156_1_cdcac46310d1e11d9de92421ffd4518c_20260526150848.jpg;Porta Carregador 1x556 M.O.L.L.E Fenrir - Coyote Utilize esse porta carregador se você deseja um perfil mais baixo em seu colete ou platafor
Porta Carregador 2x556  Warfare - Coyote;57.72;Acessório;PH-2158;2;https://images.tcdn.com.br/img/img_prod/620600/porta_carregador_2x556_warfare_coyote_2158_1_791a94dbef98707f706e3d0b61739794_20260526150848.jpg;Porta Carregador 2x556 Warfare - Coyote Porta carregador com capacidade para 2 carregadores em cal 556 ou 01 em cal 7,62mm. Com um elástico 
Porta Rádio Police Desert;55.90;Acessório;PH-2182;2;https://images.tcdn.com.br/img/img_prod/620600/porta_radio_police_coyote_2182_1_4bafb680d613ce3edfce67dd117ff0e6_20260526150848.jpg;Porta Rádio Police Desert- Warfare O porta rádio comunicador é peça fundamental para você levar em suas missões. Sem comunicação não como pe
Porta Rádio Police Preto;55.90;Acessório;PH-2184;1;https://images.tcdn.com.br/img/img_prod/620600/porta_radio_police_preto_2184_1_e3a3b11acf2a923b61daf7d6aed9d9fd_20260526150848.jpg;Porta Rádio Police Preto - Warfare O porta rádio comunicador é peça fundamental para você levar em suas missões. Sem comunicação não como pe
"Revólver Taurus RT82S/6 .38SPL 4"" Oxidado Fosco Zarelho";8787.12;Arma;PH-2194;1;https://images.tcdn.com.br/img/img_prod/620600/revlver_taurus_rt82s6_38spl_4_oxidado_fosco_zarelh_1_20260526150808_cbeda0ac41af.jpg;"REVÓLVER TAURUS RT 82S/6 4"" CALIBRE .38SPL Oxidado Fosco Zarelho O revólver Taurus 82S possui cano de 4 polegadas, e calibre .38 special. É "
"Revólver Taurus RT838/8 .38 SPL 6,5"" Inox Fosco";9486.57;Arma;PH-2196;1;https://images.tcdn.com.br/img/img_prod/620600/revlver_taurus_rt8388_38_spl_65_inox_fosco_1_20260526150808_9f6b7b883c34.png;"Revólver Taurus RT 838 Calibre .38 SPL 6,5"" O Revólver Taurus RT 838 é um modelo de ação SA/DA (simples e dupla ação) , no calibre .38 Speci"
"Revólver Taurus RT85S/5 .38 SPL 2"" Inox";6717.32;Arma;PH-2202;1;https://images.tcdn.com.br/img/img_prod/620600/revolver_taurus_rt85s_5_38_spl_2_inox_2202_1_20260526150808.jpg;"Revólver Taurus RT85S/5 .38 SPL 2"" Inox O Revólver Taurus RT 85S é um modelo bastante pequeno e prático, com excelente acabamento e cabo de "
Faca Jager Ruike F118-B;824.00;Acessório;PH-2280;9;https://images.tcdn.com.br/img/img_prod/620600/faca_jager_ruike_f118_b_2280_1_b23960c2f0e124d70ce206ecb1970916_20260526150824.jpg;Faca Ruike Jager F118 - Preto Uma grande e resistente lâmina fixa de qualidade. A alça G10 de tamanho completo se encaixa perfeitamente na m
Faca Jager Ruike F118-G;824.00;Acessório;PH-2282;8;https://images.tcdn.com.br/img/img_prod/620600/ruike_knife_f118_faca_jagger_com_bainha_green_2282_1_20260526150824.jpg;Faca Ruike Jager F118 - Green O Canivete Ruike F118 é de lâmina fixa. Sua lâmina é feita de aço inoxidável Sandvik 14C28N com 9,5 cm de comp
Faca com Bainha Ruike F815-B;562.00;Acessório;PH-2284;11;https://images.tcdn.com.br/img/img_prod/620600/faca_ruike_f815_hornet_com_bainha_black_2284_1_488d6fa290fc12d5941ab7e910701893_20260526150825.jpg;Faca com Bainha Ruike F815 - Preto A Faca Ruike F815 é uma excelente escolha para aqueles que procuram uma faca de alta qualidade e durabili
Canivete Dobrável Ruike L11-G;341.00;Acessório;PH-2286;8;https://images.tcdn.com.br/img/img_prod/620600/canivete_ruike_l11_para_uso_diario_green_2286_5_c375a9740482f7f4ac921e9407619bd4_20260526151033.jpg;Canivete Dobrável Ruike L11-G A lâmina principal da linha L dos canivetes Ruike têm espessura e largura aumentadas, promovendo maior durabil
Faca com Bainha Ruike F815-J;562.00;Acessório;PH-2288;10;https://images.tcdn.com.br/img/img_prod/620600/faca_ruike_f815_laranja_2288_1_0ad6a500181e18566e117ac460380ad7_20260526150825.jpg;Faca com Bainha Ruike F815 - Laranja A faca Ruike F815 é uma excelente escolha para aqueles que procuram uma faca de alta qualidade e durabi
Canivete Dobrável Ruike L11-B;341.00;Acessório;PH-2290;15;https://images.tcdn.com.br/img/img_prod/620600/canivete_dobrvel_ruike_l11_b_1_20260526151033_8d8f8c6e91d5.jpg;Canivete Dobrável Ruike L11-N - Black A lâmina principal da linha L dos canivetes Ruike têm espessura e largura aumentadas, promovendo maior
Canivete Multifuncional Ruike L21-B;399.00;Acessório;PH-2292;12;https://images.tcdn.com.br/img/img_prod/620600/canivete_ruike_l21_multifuncional_black_2292_1_aaeb89dfd5db071f1280074072a6e54e_20260526151024.jpg;Canivete Multifuncional Ruike L21-B - Preto A lâmina principal da linha L dos canivetes Ruike têm espessura e largura aumentadas, promovendo
Canivete Multifuncional Ruike L21-G;399.00;Acessório;PH-2294;5;https://images.tcdn.com.br/img/img_prod/620600/ruike_knife_l21_canivete_multifuncional_green_2294_1_20260526151024.jpg;Canivete Multifuncional Ruike L21-G - Verde A lâmina principal da linha L dos canivetes Ruike têm espessura e largura aumentadas, promovendo
Canivete Multifuncional Ruike L31-B;500.00;Acessório;PH-2296;9;https://images.tcdn.com.br/img/img_prod/620600/ruike_knife_l31_canivete_multifuncional_black_2296_2_20260526151025.jpg;Canivete Multifuncional Ruike L31-B - Preto A lâmina principal da linha L dos canivetes Ruike têm espessura e largura aumentadas, promovendo
Canivete Multifuncional Ruike L31-G;500.00;Acessório;PH-2298;10;https://images.tcdn.com.br/img/img_prod/620600/ruike_knife_l31_canivete_multifuncional_green_2298_1_20260526151025.jpg;Canivete Multifuncional Ruike L31-G - Verde A lâmina principal da linha L dos canivetes Ruike têm espessura e largura aumentadas, promovendo
Canivete Multifuncional Ruike L51-B;676.00;Acessório;PH-2300;9;https://images.tcdn.com.br/img/img_prod/620600/ruike_knife_l51_canivete_multifuncional_black_2300_1_20260526151025.jpg;Canivete Multifuncional Ruike L51-B - Preto A lâmina principal da linha L dos canivetes Ruike têm espessura e largura aumentadas, promovendo
Canivete Multifuncional Ruike L51-G;676.00;Acessório;PH-2302;4;https://images.tcdn.com.br/img/img_prod/620600/ruike_knife_l51_canivete_multifuncional_green_2302_1_20260526151025.jpg;Canivete Multifuncional Ruike L51-G - Verde A lâmina principal da linha L dos canivetes Ruike têm espessura e largura aumentadas, promovendo
Canivete Multifuncional Ruike LD11-B;350.00;Acessório;PH-2304;7;https://images.tcdn.com.br/img/img_prod/620600/ruike_knife_ld11_canivete_para_uso_diario_black_2304_2_20260526151025.jpg;Canivete Multifuncional Ruike LD11 Preto O Canivete Ruike LD11 é uma faca dobrável com lâmina de aço inoxidável de alta qualidade feita de a
Canivete Multifuncional Ruike LD21-B;477.00;Acessório;PH-2306;11;https://images.tcdn.com.br/img/img_prod/620600/ruike_knife_ld21_canivete_multifuncional_black_2306_1_d586c0534a640bd01ed832dc597adb5f_20260526151026.jpg;Canivete Multifuncional Ruike LD21 Preto O Canivete Ruike LD2 1 é uma faca dobrável com lâmina de aço inoxidável de alta qualidade feita de 
Canivete Multifuncional Ruike LD31-B;591.00;Acessório;PH-2308;10;https://images.tcdn.com.br/img/img_prod/620600/ruike_knife_ld31_canivete_multifuncional_black_2308_2_20260526151026.jpg;Canivete Multifuncional Ruike LD31-B O Canivete Ruike LD31 é uma faca dobrável com lâmina de aço inoxidável de alta qualidade feita de aço S
Canivete Ruike Multifuncional LD32-B;591.00;Acessório;PH-2310;10;https://images.tcdn.com.br/img/img_prod/620600/ruike_knife_ld32_multifuncional_black_2310_1_20260526151027.jpg;Canivete Ruike Multifuncional LD32-B O Canivete Ruike LD32 é uma faca dobrável com lâmina de aço inoxidável de alta qualidade feita de aço S
